id,sentence,subject_entity,object_entity,label
249,"태양 수준의 금속성에, 극도로 밝은 별은 중심핵 붕괴가 일어나기 전에 수소 외피층을 몽땅 소실하게 되고, II형 초신성을 형성하지 않는다.","{'text': '별', 'start_idx': '20', 'end_idx': '20', 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:contains
485,"화성에서는 다량의 얼음이 발견되었고, 생명체가 존재할 가능성이 제기되고 있다.","{'text': '화성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '얼음', 'start_idx': '10', 'end_idx': '11', 'entity_type': 'ELM'}",clo:composed_of
493,"토성은 태양계 내의 행성 중 목성에 이어 두 번째로 크며, 지름은 약 12만 km로, 지구의 9.1배이며 부피는 760배에 달한다.","{'text': '행성', 'start_idx': '11', 'end_idx': '12', 'entity_type': 'CLO'}","{'text': '토성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:contains
995,"내행성계의 행성 대부분은 규산염과 금속으로 구성되어 있으며, 태양에 매우 근접해 있다.","{'text': '내행성계의 행성', 'start_idx': '0', 'end_idx': '7', 'entity_type': 'CLO'}","{'text': '규산염', 'start_idx': '14', 'end_idx': '16', 'entity_type': 'ELM'}",clo:composed_of
447,"주(主) 소행성대는 화성과 목성 궤도 사이에 형성되어 있으며, 그 거리는 태양으로부터 2.3 ~ 3.3 천문단위이다.","{'text': '화성', 'start_idx': 11, 'end_idx': 12, 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': 41, 'end_idx': 42, 'entity_type': 'CLO'}",no_relation
329,"그 뒤 독일의 페르디난트 폰 체펠린 백작이 수소를 충전하여 공중에 뜨는 경식 비행선의 아이디어를 발전시켰다. 이 비행선은 나중에 체펠린 비행선으로 불리게 되었으며, 1900년에 처음 비행했고, 1910년에는 규칙적으로 비행하게 되었다.","{'text': '폰 체펠린 백작', 'start_idx': 14, 'end_idx': 21, 'entity_type': 'PER'}","{'text': '1900년', 'start_idx': 92, 'end_idx': 96, 'entity_type': 'PER'}",no_relation
398,태양은 중심핵에서 초당 4억 3천만~6억 톤의 수소를 태운다.,"{'text': '태양', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '수소', 'start_idx': '26', 'end_idx': '27', 'entity_type': 'ELM'}",clo:composed_of
228,"행성(行星, ) 또는 혹성(惑星), 떠돌이별은 우주에서 항성의 둘레를 도는 천체의 한 부류이다.","{'text': '행성(行星, )', 'start_idx': 0, 'end_idx': 7, 'entity_type': 'CLO'}","{'text': '혹성(惑星)', 'start_idx': 12, 'end_idx': 17, 'entity_type': 'CLO'}",clo:alias_of
349,금성은 지구형 행성 중에서 가장 농밀한 대기를 가지고 있다.,"{'text': '지구형 행성', 'start_idx': '4', 'end_idx': '9', 'entity_type': 'CLO'}","{'text': '금성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:contains
418,해왕성이 태양을 1회 도는 데 걸리는 시간은 164.79년이다.,"{'text': '해왕성', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': '5', 'end_idx': '6', 'entity_type': 'CLO'}",clo:revolves
883,금성이 마치 보름달과 같은 모습을 할 때에는 지구에서 가장 멀리 떨어져 있어 금성이 너무 작게 보이고 천구상에서 태양에 가깝고 태양 바로 뒤에 위치하므로 관찰하기도 쉽지 않다.,"{'text': '금성', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO","{'text': '보름달', 'start_idx': 7, 'end_idx': 9, 'entity_type': 'CLO'}",no_relation
924,"행성 주위를 공전하는 천체는 자연 위성, 혹은 그냥 단순히 위성이라고 하는데, 그 중 몇은 행성보다도 크다.","{'text': '위성', 'start_idx': '19', 'end_idx': '20', 'entity_type': 'CLO'}","{'text': '행성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:revolves
225,"명왕성의 질량은 지구의 0.2퍼센트 정도인 1.303kg이고, 부피는 약 0.6퍼센트인 6.97km3이다.","{'text': '1.303kg', 'start_idx': '24', 'end_idx': '30', 'entity_type': 'MET'}","{'text': '명왕성', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'CLO'}",met:feature_of
175,토성은 태양계 행성 가운데 매우 멀리 있는데도 토성의 고리가 있기 때문에 밝은 빛으로 빛나며 수성보다도 밝은 빛을 낸다.,"{'text': '태양계 행성', 'start_idx': '4', 'end_idx': '9', 'entity_type': 'CLO'}","{'text': '토성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:contains
925,과학철학은 물리학을 포함한 자연 과학이 다음과 같은 전제 위에 놓여 있다고 본다.,"{'text': '과학철학', 'start_idx': 0, 'end_idx': 3, 'entity_type': 'PER'}","{'text': '물리학', 'start_idx': 6, 'end_idx': 8, 'entity_type': 'PER'}",no_relation
623,"해왕성 대기의 하층부는 어둡고 뜨거운 영역으로 온도 2,000K ~ 5,000K의 초열 상태의 액체 맨틀로 응축된다.","{'text': '2,000K ~ 5,000K', 'start_idx': '29', 'end_idx': '43', 'entity_type': 'MET'}","{'text': '해왕성', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'CLO'}",met:feature_of
818,"(성간 행성)떠돌이 행성(Rogue planet)은 행성과 유사한 질량을 지니고 있으나, 어떤 항성의 중력에도 속박되어 있지 않아서 우주 공간을 독립하여 움직여 다니는 행성급 천체를 일컫는 단어이다.","{'text': '성간 행성', 'start_idx': 1, 'end_idx': 5, 'entity_type': 'CLO'}","{'text': '떠돌이 행성(Rogue planet)', 'start_idx': 7, 'end_idx': 26, 'entity_type': 'CLO'}",clo:alias_of
69,명왕성의 중력은 지구의 약 7% 정도이므로 지구에서의 몸무게가 약 60 kgf인 사람은 명왕성에서 몸무게가 약 4 kgf이 된다.,"{'text': '명왕성', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'CLO'}","{'text': '지구', 'start_idx': 9, 'end_idx': 10, 'entity_type': 'CLO'}",no_relation
247,"매일 같은 시간에 관측할 때에 태양 위치가 변하는 모양을 살펴보면, 남/북 방향의 축을 따라 ‘8’자를 그리고 있음을 알 수 있는데, 이를 ‘아날렘마(analemma)’라 한다.","{'text': '아날렘마(analemma)', 'start_idx': 79, 'end_idx': 92, 'entity_type': 'CON'}","{'text': '태양', 'start_idx': 17, 'end_idx': 18, 'entity_type': 'CLO'}",no_relation
618,1960년대에는 블랙홀이 일반상대론에서 유도됨을 증명하는 이론적 연구들이 행해졌다.,"{'text': '1960년대', 'start_idx': '0', 'end_idx': '5', 'entity_type': 'DAT'}","{'text': '블랙홀', 'start_idx': '9', 'end_idx': '11', 'entity_type': 'CLO'}",no_relation
404,"자외선은 지구의 오존층이 약화시키며, 이때문에 위도에 따라 자외선 양이 크게 변하여 사람의 피부색이 달라지는 원인이 되기도 한다.","{'text': '사람', 'start_idx': 47, 'end_idx': 48, 'entity_type': 'PER'}","{'text': '지구', 'start_idx': 5, 'end_idx': 6, 'entity_type': 'CLO'}",no_relation
315,아인슈타인의 상대성이론에서 등장한 formula_3 공식에 따라 손실된 질량은 에너지로 바뀐다.,"{'text': '아인슈타인', 'start_idx': '0', 'end_idx': '4', 'entity_type': 'PER'}","{'text': '상대성이론', 'start_idx': '7', 'end_idx': '11', 'entity_type': 'CON'}",per:propose
185,이 초대질량 블랙홀은 일부 은하들의 핵에서 발견되는 활동은하핵(은하의 중심영역에서 매우 압축된 지역)의 주된 원인으로 지목되고 있다.,"{'text': '초대질량 블랙홀', 'start_idx': 2, 'end_idx': 9, 'entity_type': 'CLO'}","{'text': '활동은하핵', 'start_idx': 29, 'end_idx': 33, 'entity_type': 'CLO'}",no_relation
535,"1964년 7월 28일에 발사한 제7호에서 텔레비전 카메라에 의한 달면 관측에 성공, 달에 충돌할 때까지 4,308장의 월면 사진을 지상으로 보냈다.","{'text': '1964년 7월 28일', 'start_idx': 0, 'end_idx': 11, 'entity_type': 'DAT'}","{'text': '달', 'start_idx': 37, 'end_idx': 37, 'entity_type': 'CLO'}",no_relation
137,튀코 브라헤와 같은 초기 유럽의 천문학자들은 밤하늘에 새로 나타나는 천체를 발견하여 훗날 ‘신성’ 이름을 붙였다.,"{'text': '튀코 브라헤', 'start_idx': 0, 'end_idx': 5, 'entity_type': 'PER'}","{'text': '신성', 'start_idx': 51, 'end_idx': 52, 'entity_type': 'CLO'}",no_relation
561,금성의 태양일은 116.75일이다.,"{'text': '116.75일', 'start_idx': '9', 'end_idx': '15', 'entity_type': 'MET'}","{'text': '금성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",met:feature_of
483,"목성은 통상적으로 하늘에서 태양과 달, 금성 다음으로 가장 밝은 천체이다.","{'text': '천체', 'start_idx': '36', 'end_idx': '37', 'entity_type': 'CLO'}","{'text': '목성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:contains
264,"토성의 궤도 이심률이 0.056이기 때문에 토성과 태양 사이 거리는 태양에 가장 가까울 때와 멀어졌을 때 차이가 약 155,000,000 킬로미터이다.","{'text': '155,000,000 킬로미터', 'start_idx': 65, 'end_idx': 80, 'entity_type': 'MET'}","{'text': '토성', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO'}",no_relation
438,"만약 이들이 없다면 새롭게 탄생하는 별들 및 행성들은 수소와 헬륨으로만 이루어질 것이고, 지구형 행성은 생겨날 수 없기 때문이다.","{'text': '별', 'start_idx': 20, 'end_idx': 20, 'entity_type': 'CLO'}","{'text': '수소', 'start_idx': 30, 'end_idx': 31, 'entity_type': 'ELM'}",clo:composed_of
785,해왕성은 보이저가 방문할 수 있는 마지막 행성이었기 때문에 보이저 1호가 토성과 그 위성 타이탄에서 그렇게 했던 것처럼 궤도 변화에는 상관없이 해왕성과 그 위성 트리톤을 근접 통과하기로 결정되었다.,"{'text': '행성', 'start_idx': '23', 'end_idx': '24', 'entity_type': 'CLO'}","{'text': '해왕성', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'CLO'}",clo:contains
95,블랙홀의 슈바르츠실트 반경 안쪽의 평균밀도는 그 질량의 제곱에 반비례한다.,"{'text': '블랙홀', 'start_idx': 0, 'end_idx': 2, 'entity_type': 'CLO'}","{'text': '슈바르츠실트 반경', 'start_idx': 5, 'end_idx': 13, 'entity_type': 'CON'}",no_relation
985,"태양의 지름은 약 139만 2천 km로 지구보다 109배 크며, 질량은 2 킬로그램으로 지구보다 약 33만 배 무겁고, 부피 또한 지구의 144만 배이다.","{'text': '약 139만 2천 km', 'start_idx': '8', 'end_idx': '19', 'entity_type': 'MET'}","{'text': '태양', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",met:feature_of
948,"지구의 원소들 중, 철의 원자핵은 모든 원자핵 가운데 가장 강한 결합 에너지를 가지고 있으며, 가장 안정되어 있다.","{'text': '지구', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '철', 'start_idx': '11', 'end_idx': '11', 'entity_type': 'ELM'}",clo:composed_of
255,"76억 년 후 태양의 외곽층은 1.2천문단위(지금 태양 반지름의 256배)까지 팽창할 것이다. 이 단계는 적색 거성 가지로, 팽창한 만큼 표면 온도는 2600켈빈까지 내려가서 붉은색으로 빛나게 되며, 밝기는 지금의 2700배까지 올라간다.","{'text': '2600켈빈', 'start_idx': '84', 'end_idx': '89', 'entity_type': 'MET'}","{'text': '태양', 'start_idx': '8', 'end_idx': '9', 'entity_type': 'CLO'}",met:feature_of
148,"한편, 수성에서의 재결합율하는 비는 지구의 1/3에 불과하는데, 이는 태양과 가장 가깝기 때문이다.","{'text': '수성', 'start_idx': '4', 'end_idx': '5', 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': '39', 'end_idx': '40', 'entity_type': 'CLO'}",no_relation
403,"거대한 별이 철질 핵을 형성하여 찬드라세카르 질량을 넘어서면, 더 이상 전자 축퇴압으로 스스로를 유지하지 못하고 중성자별 또는 블랙홀으로 붕괴한다.","{'text': '별', 'start_idx': '4', 'end_idx': '4', 'entity_type': 'CLO'}","{'text': '중성자별', 'start_idx': '63', 'end_idx': '66', 'entity_type': 'CLO'}",clo:turn_into
787,토성도 목성과 마찬가지로 수소와 헬륨이 대기의 거의 전부를 이루고 있다.,"{'text': '토성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '수소', 'start_idx': '14', 'end_idx': '15', 'entity_type': 'ELM'}",clo:composed_of
943,화성 표면에서 발견된 암염이나 침철석과 같이 대체로 물이 존재할 때 생성되는 광물이 발견되었기 때문이다.,"{'text': '화성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '암염', 'start_idx': '12', 'end_idx': '13', 'entity_type': 'ELM'}",clo:composed_of
768,"1AU는 태양에서 지구까지의 거리로, 구체적 값은 약 1억 5천만 킬로미터이다.","{'text': '지구', 'start_idx': 10, 'end_idx': 11, 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': 5, 'end_idx': 6, 'entity_type': 'CLO'}",no_relation
90,"그 중 가장 유명한 것은 파이오니어 10호로, 처음으로 목성에 가까이 접근하여 태양계에서 가장 큰 행성의 특성과 그곳에서 발생하는 현상을 상세하게 보여준 우주 탐사선이다.","{'text': '목성', 'start_idx': '31', 'end_idx': '32', 'entity_type': 'CLO'}","{'text': '태양계', 'start_idx': '44', 'end_idx': '46', 'entity_type': 'CLO'}",clo:exists_in
822,"목성과 토성은 대기에 수소와 헬륨을 대량 포함하지만 해왕성의 대기는 극미량의 탄화수소와 질소를 포함하고 있으며, 물, 암모니아, 메테인 등이 얼어붙은 얼음질이 높은 비율을 차지한다.","{'text': '목성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '수소', 'start_idx': '12', 'end_idx': '13', 'entity_type': 'ELM'}",clo:composed_of
531,또한 태양으로부터 나오는 플라스마 흐름인 태양풍은 태양권 내에서 항성풍 거품을 만들어 낸다.,"{'text': '항성풍 거품', 'start_idx': '36', 'end_idx': '41', 'entity_type': 'CLO'}","{'text': '태양권', 'start_idx': '28', 'end_idx': '30', 'entity_type': 'CLO'}",clo:exists_in
624,1802년 자크 알렉상드르 세사르 샤를은 일정한 압력에서 온도에 따른 기체의 부피 변화를 연구한다. 그는 그의 발견을 출판하지 않았지만 기체의 온도와 부피가 선형적으로 비례한다는 샤를의 법칙을 발견한다.,"{'text': '자크 알렉상드르 세사르 샤를', 'start_idx': '6', 'end_idx': '20', 'entity_type': 'PER'}","{'text': '샤를의 법칙', 'start_idx': '100', 'end_idx': '105', 'entity_type': 'CON'}",per:propose
133,태양의 중심핵에 있는 수소가 소진되면서 핵은 수축하고 가열된다.,"{'text': '태양', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '수소', 'start_idx': '12', 'end_idx': '13', 'entity_type': 'ELM'}",clo:composed_of
474,행성 외에도 태양계의 구성 천체로는 소천체로 이루어진 띠도 있다.,"{'text': '행성', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO'}","{'text': '소천체', 'start_idx': 20, 'end_idx': 22, 'entity_type': 'CLO'}",no_relation
774,"태양과 마찬가지로, 목성의 중력은 태양계가 오늘날의 형태를 갖추는데 큰 기여를 하였다.","{'text': '목성', 'start_idx': 11, 'end_idx': 12, 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO'}",no_relation
339,"질량이 큰 천체로 인해 생성된 중력 우물로 낙하하는 기체는 각운동량 보존에 의해, 그 천체 주위로 원반 모양의 구조를 형성하게 된다.","{'text': '질량이 큰 천체', 'start_idx': 0, 'end_idx': 7, 'entity_type': 'CLO'}","{'text': '각운동량 보존', 'start_idx': 33, 'end_idx': 39, 'entity_type': 'CON'}",no_relation
444,"1671년, 로버트 보일이 수소 기체가 발생하는 반응인 철가루와 묽은 산 용액 간의 반응을 재발견하고 기술하였다.","{'text': '로버트 보일', 'start_idx': '7', 'end_idx': '12', 'entity_type': 'PER'}","{'text': '철가루와 묽은 산 용액 간의 반응', 'start_idx': '31', 'end_idx': '48', 'entity_type': 'CON'}",per:propose
193,지구의 바깥부분이 완전히 녹은 상태를 마그마 바다라고 한다. 마그마 바다의 깊이는 수백 km에 달했다고 여겨진다.,"{'text': '지구', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'PER'}","{'text': '수백 km', 'start_idx': 46, 'end_idx': 50, 'entity_type': 'PER'}",no_relation
385,이들은 목성에 포획된 소행성이거나 그러한 소행성의 잔해로 여겨진다.,"{'text': '소행성', 'start_idx': '12', 'end_idx': '14', 'entity_type': 'CLO'}","{'text': '목성', 'start_idx': '4', 'end_idx': '5', 'entity_type': 'CLO'}",clo:revolves
504,"1960년에, 윌리엄 맥크레아(William McCrea)는 행성의 형성이 성단의 형성과 연결된다는, 또한 태양의 느린 회전을 설명할 수 있는 이론을 제안한다.","{'text': '윌리엄 맥크레아(William McCrea)', 'start_idx': '8', 'end_idx': '31', 'entity_type': 'PER'}","{'text': '태양의 느린 회전을 설명할 수 있는 이론', 'start_idx': '60', 'end_idx': '81', 'entity_type': 'CON'}",per:propose
53,같은 한자권이지만 베트남어에서는 이 행성에 힌두교와 불교에서 지옥의 수호신인 염마(閻魔)에서 따온 Diêm Vương Tinh(염왕성 閻王星) 또는 Sao Diêm Vương(염마의 별)이라는 독자적 명칭을 쓰고 있다.,"{'text': '염마', 'start_idx': '43', 'end_idx': '44', 'entity_type': 'PER'}","{'text': '염왕성', 'start_idx': '71', 'end_idx': '73', 'entity_type': 'CLO'}",per:origin_of
282,위성 이오의 화산활동(아래 참고)으로 인해 기체가 목성의 자기권으로 분출되어 행성 주변에 입자 토러스를 형성한다.,"{'text': '위성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '이오', 'start_idx': '3', 'end_idx': '4', 'entity_type': 'CLO'}",clo:contains
766,태양의 절대 등급은 +4.83이나 지구에 매우 가깝기 때문에 겉보기 등급은 -26.74로 아주 밝게 보인다.,"{'text': '태양', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO'}","{'text': '지구', 'start_idx': 19, 'end_idx': 20, 'entity_type': 'CLO'}",no_relation
477,"이것들을 IIb형 초신성이라 하며, II형과 Ib형에서 일반적으로 나타나는 특징들의 조합이 나타난다는 것을 드러나는 명칭이다.","{'text': 'II형', 'start_idx': '20', 'end_idx': '22', 'entity_type': 'CLO'}","{'text': 'IIb형 초신성', 'start_idx': '5', 'end_idx': '12', 'entity_type': 'CLO'}",no_relation
637,"예를 들어, 궁수자리 왜소 타원 은하와 큰개자리 왜소은하는 현재 우리 은하에 합병되고 있는 중이다.","{'text': '우리 은하', 'start_idx': 36, 'end_idx': 40, 'entity_type': 'CLO'}","{'text': '궁수자리 왜소 타원 은하', 'start_idx': 7, 'end_idx': 19, 'entity_type': 'CLO'}",no_relation
648,나선은하의 나선팔은 밀도파 때문에 발생하는 밀도가 높은 영역이라고 여겨진다.,"{'text': '나선팔', 'start_idx': '6', 'end_idx': '8', 'entity_type': 'CLO'}","{'text': '나선은하', 'start_idx': '0', 'end_idx': '3', 'entity_type': 'CLO'}",clo:exists_in
909,"해왕성과 천왕성은 질량이 지구와 목성 중간 정도인데다 물, 암모니아 등의 휘발성 물질이 내부 구성 물질 중 차지하는 비중이 높기 때문에, 목성이나 토성과 같은 거대 가스 행성과 구별하여 거대 얼음 행성으로 부르기도 한다.","{'text': '해왕성', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'CLO'}","{'text': '물', 'start_idx': '30', 'end_idx': '30', 'entity_type': 'ELM'}",clo:composed_of
324,두 파장 대에서 관측된 복사 세기의 비와 동일한 비의 복사를 방출하는 흑체의 온도를 색온도라 한다.,"{'text': '흑체', 'start_idx': 39, 'end_idx': 40, 'entity_type': 'CLO'}","{'text': '복사 세기의 비', 'start_idx': 13, 'end_idx': 20, 'entity_type': 'CON'}",no_relation
482,해왕성 횡단 영역 내를 돌고 있는 왜행성을 명왕성형 천체 또는 플루토이드로 부른다.,"{'text': '플루토이드', 'start_idx': '35', 'end_idx': '39', 'entity_type': 'CLO'}","{'text': '명왕성형 천체', 'start_idx': '24', 'end_idx': '30', 'entity_type': 'CLO'}",clo:alias_of
520,"목성형 행성인 목성, 토성, 천왕성, 해왕성은 모두 고리를 갖고 있으나, 토성을 제외한 나머지는 지구에서 고리를 관측하기가 쉽지 않다.","{'text': '목성형 행성', 'start_idx': '0', 'end_idx': '5', 'entity_type': 'CLO'}","{'text': '목성', 'start_idx': '8', 'end_idx': '9', 'entity_type': 'CLO'}",clo:contains
973,해왕성의 대기 중 메테인이 풍부하기 때문에 해왕성 적도의 에테인과 아세틸렌 함량은 극지방보다 10~100배 더 높다.,"{'text': '해왕성', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'CLO'}","{'text': '메테인', 'start_idx': '10', 'end_idx': '12', 'entity_type': 'ELM'}",clo:composed_of
227,"명왕성의 행성 지위를 상실할 당시 명왕성은 태양계에서 유일하게 미국인 학자(클라이드 톰보)가 발견했다는 점 때문에 미국 천문학계의 반발이 있었으며, 정치적 논쟁거리로 비화되기도 하였다.","{'text': '명왕성', 'start_idx': 19, 'end_idx': 21, 'entity_type': 'CLO'}","{'text': '태양계', 'start_idx': 24, 'end_idx': 26, 'entity_type': 'CLO'}",clo:exists_in
104,태양풍 플라스마로 가득 채워진 태양 주변의 태양권은 태양반경의 20배 정도 되는 곳부터 태양계 바깥 경계면까지 뻗어 있다.,"{'text': '태양계', 'start_idx': '49', 'end_idx': '51', 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': '17', 'end_idx': '18', 'entity_type': 'CLO'}",clo:contains
209,항성은 통상적으로 별()이라고 부른다.,"{'text': '별', 'start_idx': '10', 'end_idx': '10', 'entity_type': 'CLO'}","{'text': '항성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:alias_of
292,지구는 달의 1.6배이며 지구 지름의 1/4 이고 지구 질량의 1/81이다.,"{'text': '지구', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO'}","{'text': '달', 'start_idx': 4, 'end_idx': 4, 'entity_type': 'CLO'}",no_relation
68,기록된 초신성 중 가장 밝은 초신성이었던 SN 1006은 중국과 이슬람 천문학자들이 상세하게 묘사하였다.,"{'text': '초신성', 'start_idx': '4', 'end_idx': '6', 'entity_type': 'CLO'}","{'text': 'SN 1006', 'start_idx': '23', 'end_idx': '29', 'entity_type': 'CLO'}",clo:contains
208,지구에서 보이는 화성의 가장 어두운 부분은 시르티스 메이저(Syrtis Major)이다.,"{'text': '화성', 'start_idx': 9, 'end_idx': 10, 'entity_type': 'CLO'}","{'text': '지구', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO'}",no_relation
214,"관성좌표계(지구의 자전, 공전과 관계없이 태양에 고정되어 있는 좌표계)에서 지구는 세차운동을 한다.","{'text': '지구', 'start_idx': '6', 'end_idx': '7', 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': '23', 'end_idx': '24', 'entity_type': 'CLO'}",no_relation
